GPA,SAT_Score,Extracurricular,Volunteer_Hours,Recommendation_Score,Interview_Score,Intended_Major,Legacy,First_Gen,Gender,Ethnicity,International,Income_Level,High_School_Rating,Admitted
3.39,1296.0,0,16.0,3.3,7.8,Arts,1,0,Male,Other,0,High,4.9,No
2.57,1246.0,0,62.0,1.1,7.4,Business,0,0,Female,Black,0,Low,4.5,Yes
2.45,1155.0,1,-13.0,4.3,8.6,SocialSci,0,0,Other,Hispanic,0,Low,3.2,No
3.1,1311.0,1,13.0,3.4,8.7,Arts,1,0,Other,Other,0,Low,9.7,No
3.44,1228.0,0,43.0,1.9,4.7,STEM,0,0,Male,Black,0,Low,8.2,No
2.85,1211.0,1,38.0,1.3,1.5,Arts,0,1,Female,White,0,Low,10.0,No
3.96,1190.0,1,64.0,1.7,2.9,STEM,0,0,Other,Black,0,High,9.4,No
3.37,1231.0,0,53.0,2.4,3.2,Arts,0,1,Other,Asian,0,Low,3.9,No
2.96,1273.0,1,54.0,4.3,10.0,STEM,0,0,Other,Asian,0,Middle,2.8,Yes
2.78,987.0,0,36.0,1.1,6.3,SocialSci,0,0,Other,Hispanic,0,Middle,2.1,No
2.69,1064.0,1,42.0,1.2,8.0,Arts,1,0,Male,Other,0,High,4.1,No
3.46,1199.0,0,36.0,3.8,6.8,SocialSci,0,0,Male,Black,0,Low,4.2,No
2.88,1193.0,1,75.0,3.6,5.0,SocialSci,0,0,Female,Black,0,High,5.4,Yes
2.12,1093.0,1,46.0,4.5,3.2,STEM,0,1,Other,Other,0,High,2.7,No
2.8,1243.0,1,56.0,3.1,8.9,SocialSci,0,0,Other,Asian,0,Middle,2.5,Yes
3.48,1012.0,0,-10.0,2.8,9.1,Arts,0,0,Male,Asian,0,High,3.4,No
2.36,1286.0,1,55.0,4.1,1.7,Business,1,0,Male,White,0,Middle,4.0,No
2.35,1273.0,0,61.0,2.9,1.0,Health,0,0,Male,White,1,Low,5.2,No
3.06,1134.0,0,93.0,3.3,2.7,STEM,1,0,Female,White,0,Middle,6.2,Yes
3.06,1184.0,1,60.0,1.6,6.8,Health,0,0,Other,White,0,High,1.6,Yes
3.27,1141.0,0,39.0,3.7,6.2,Health,0,0,Other,Black,0,Low,5.8,No
3.7,1163.0,1,39.0,3.8,2.8,Arts,0,0,Female,Hispanic,0,High,1.0,No
3.45,1267.0,1,63.0,3.7,2.7,STEM,0,0,Male,Hispanic,0,Middle,6.9,Yes
3.22,1253.0,1,58.0,4.7,9.9,SocialSci,0,1,Male,White,0,High,2.8,Yes
3.44,1199.0,1,36.0,1.9,4.7,SocialSci,0,0,Male,Hispanic,1,Low,7.0,No
2.65,1011.0,0,48.0,3.0,9.1,Business,1,0,Other,Black,0,Middle,9.7,No
2.72,1372.0,0,55.0,3.0,1.5,Health,0,0,Other,Black,0,High,3.7,Yes
2.46,1238.0,0,48.0,3.2,9.3,Business,1,0,Other,White,0,Low,9.1,Yes
2.59,1166.0,0,53.0,2.7,9.4,SocialSci,0,0,Male,Other,0,Middle,5.1,Yes
3.26,1350.0,0,25.0,4.2,2.1,Business,0,1,Other,Other,0,High,8.9,No
